"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16262","Successful External transfer","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT09","AT04-EBanking","tests.ExternalTransferTests.EXT09","EXT09"
"","1992","Show error message when 'Payment Content' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT05","AT04-EBanking","tests.InternalTransferTests.INT05","INT05"
"","2988","Reject transfers with insufficient funds","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT07","AT04-EBanking","tests.ExternalTransferTests.EXT07","EXT07"
"","1715","Show error message when 'Transfer Account' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT02","AT04-EBanking","tests.InternalTransferTests.INT02","INT02"
"","2533","Show error message when 'Account' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT01","AT04-EBanking","tests.ExternalTransferTests.EXT01","EXT01"
"","2809","Show error message when 'Branch' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT05","AT04-EBanking","tests.ExternalTransferTests.EXT05","EXT05"
"","3449","Show error message when 'Receiving Account Number' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT02","AT04-EBanking","tests.ExternalTransferTests.EXT02","EXT02"
"","11534","Wrong OTP blocks the Internal transfer","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT08","AT04-EBanking","tests.InternalTransferTests.INT08","INT08"
"","1349","Show error message when 'Receive Account' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT03","AT04-EBanking","tests.InternalTransferTests.INT03","INT03"
"","14750","Successful Internal transfer","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT01","AT04-EBanking","tests.InternalTransferTests.INT01","INT01"
"","12079","Wrong OTP blocks the External transfer","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT08","AT04-EBanking","tests.ExternalTransferTests.EXT08","EXT08"
"","1660","Reject transfers with insufficient funds","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT07","AT04-EBanking","tests.InternalTransferTests.INT07","INT07"
"","1435","Show error message when 'Amount' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT04","AT04-EBanking","tests.InternalTransferTests.INT04","INT04"
"","2346","Show error message when 'Recipient Account Name' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT03","AT04-EBanking","tests.ExternalTransferTests.EXT03","EXT03"
"","2689","Reject transfer with invalid receive account details","Default Suite","2025-12-11","passed","2025-12-11","tests.InternalTransferTests.INT06","AT04-EBanking","tests.InternalTransferTests.INT06","INT06"
"","2469","Reject transfer with invalid recipient account details","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT06","AT04-EBanking","tests.ExternalTransferTests.EXT06","EXT06"
"","2002","Show error message when 'Bank' fields blank","Default Suite","2025-12-11","passed","2025-12-11","tests.ExternalTransferTests.EXT04","AT04-EBanking","tests.ExternalTransferTests.EXT04","EXT04"
